tier_id,card_id,min_spend,description
1,1,1500,High tier
2,1,800,Low tier
3,2,0,Standard tier
4,3,800,Standard tier
5,4,1600,High tier
6,4,800,Low tier
7,5,800,Standard tier
8,6,600,High tier
9,6,0,Low tier
10,7,0,Standard tier
11,8,0,Standard tier
12,9,0,Standard tier
13,10,0,Standard tier
14,11,0,Standard tier
15,12,0,Standard tier
16,13,0,Standard tier
17,14,0,Standard tier
18,15,1000,Standard tier
19,16,0,Standard tier
20,17,1000,Standard tier
21,18,0,Standard tier
22,19,0,Standard tier
23,20,800,Standard tier
24,21,800,Standard tier 