rate_id,tier_id,category,rate_value,rate_type,cap_amount,cap_type
1,1,Dining,10,percentage,,
2,1,Transport,10,percentage,,
3,1,Streaming,10,percentage,,
4,1,Other,1,percentage,,
5,2,Dining,8,percentage,,
6,2,Transport,8,percentage,,
7,2,Streaming,8,percentage,,
8,2,Other,1,percentage,,
9,3,All,1.5,percentage,,
10,4,Dining,6,percentage,80,dollars_earned
11,4,Groceries,6,percentage,80,dollars_earned
12,4,Petrol,8,percentage,80,dollars_earned
13,4,Other,0.2,percentage,80,dollars_earned
14,5,Dining,5,percentage,160,dollars_earned
15,5,Groceries,3,percentage,160,dollars_earned
16,5,Petrol,6,percentage,160,dollars_earned
17,5,Transport,3,percentage,160,dollars_earned
18,5,Streaming,3,percentage,160,dollars_earned
19,5,Utilities,3,percentage,160,dollars_earned
20,5,Other,0.25,percentage,160,dollars_earned
21,6,Dining,5,percentage,80,dollars_earned
22,6,Groceries,3,percentage,80,dollars_earned
23,6,Petrol,6,percentage,80,dollars_earned
24,6,Transport,3,percentage,80,dollars_earned
25,6,Streaming,3,percentage,80,dollars_earned
26,6,Utilities,3,percentage,80,dollars_earned
27,6,Other,0.25,percentage,80,dollars_earned
28,7,Transport,6,percentage,70,dollars_earned
29,7,Overseas,3.25,percentage,70,dollars_earned
30,7,Other,0.3,percentage,70,dollars_earned
31,8,Dining,8,percentage,62.5,dollars_earned
32,8,Retail,8,percentage,62.5,dollars_earned
33,8,Entertainment,8,percentage,62.5,dollars_earned
34,8,Other,0,percentage,62.5,dollars_earned
35,9,Dining,5,percentage,62.5,dollars_earned
36,9,Retail,5,percentage,62.5,dollars_earned
37,9,Entertainment,5,percentage,62.5,dollars_earned
38,9,Other,0,percentage,62.5,dollars_earned
39,10,Dining,3,mpd,1000,dollars_spent
40,10,Groceries,3,mpd,1000,dollars_spent
41,10,Transport,3,mpd,1000,dollars_spent
42,10,Overseas,2,mpd,1000,dollars_spent
43,10,Other,1.2,mpd,1000,dollars_spent
44,11,Travel,10,mpd,,
45,11,Overseas,2.2,mpd,,
46,11,Other,1.2,mpd,,
47,12,Retail,4,mpd,,
48,12,Online,4,mpd,,
49,12,Other,0.4,mpd,,
50,13,Overseas,2,mpd,,
51,13,Other,1.3,mpd,,
52,14,Retail,6,mpd,1110,dollars_spent
53,14,Departmental,6,mpd,1110,dollars_spent
54,14,Online,4,mpd,1110,dollars_spent
55,14,Other,0,mpd,1110,dollars_spent
56,15,Online,2,mpd,1000,dollars_spent
57,15,Other,0.4,mpd,1000,dollars_spent
58,16,Online,4,mpd,1500,dollars_spent
59,16,Overseas,1.2,mpd,1500,dollars_spent
60,16,Other,0.4,mpd,1500,dollars_spent
61,17,Transport,4,mpd,,
62,17,Online,4,mpd,,
63,17,Other,0.4,mpd,,
64,18,Dining,4,mpd,1000,dollars_spent
65,18,Transport,4,mpd,1000,dollars_spent
66,18,Entertainment,4,mpd,1000,dollars_spent
67,18,Retail,4,mpd,1000,dollars_spent
68,18,Travel,4,mpd,1000,dollars_spent
69,18,Other,0.4,mpd,1000,dollars_spent
70,19,Retail,4,mpd,1110,dollars_spent
71,19,Online,4,mpd,1110,dollars_spent
72,19,Other,0.4,mpd,1110,dollars_spent
73,20,Petrol,4,mpd,2000,dollars_spent
74,20,Retail,4,mpd,2000,dollars_spent
75,20,Overseas,4,mpd,2000,dollars_spent
76,20,Other,0.4,mpd,2000,dollars_spent
77,21,Travel,8,mpd,,
78,21,Online,3,mpd,,
79,21,Overseas,5,mpd,,
80,21,Other,1.4,mpd,,
81,22,Dining,2.4,mpd,1000,dollars_spent
82,22,Transport,2.4,mpd,1000,dollars_spent
83,22,Online,2.4,mpd,1000,dollars_spent
84,22,Travel,2.4,mpd,1000,dollars_spent
85,22,Other,1.2,mpd,1000,dollars_spent
86,23,Travel,2.8,mpd,800,dollars_spent
87,23,Overseas,2.8,mpd,800,dollars_spent
88,23,Dining,1.2,mpd,800,dollars_spent
89,23,Groceries,1.2,mpd,800,dollars_spent
90,23,Petrol,1.2,mpd,800,dollars_spent
91,23,Transport,1.2,mpd,800,dollars_spent
92,23,Retail,1.2,mpd,800,dollars_spent
93,23,Utilities,0.56,mpd,800,dollars_spent
94,23,Other,0.4,mpd,800,dollars_spent
95,24,Dining,4,mpd,800,dollars_spent
96,24,Petrol,4,mpd,800,dollars_spent
97,24,Overseas,2.8,mpd,800,dollars_spent
98,24,Other,0.4,mpd,800,dollars_spent
99,25,Overseas,1.7,percentage,,
100,25,Retail,1.7,percentage,,
101,25,Dining,1.7,percentage,,
102,25,Groceries,1.7,percentage,,
103,25,Petrol,1.7,percentage,,
104,25,Transport,1.7,percentage,,
105,25,Departmental,1.7,percentage,,
106,25,Utilities,0.3,percentage,,
107,25,Other,0,percentage,, 